id:ID,label,:LABEL,properties.category,properties.chapters,properties.description,properties.mention_count,properties.name_normalized,properties.red_flag,properties.sections,properties.severity,properties.synonyms,properties.treatment_type,properties.urgency_level,properties.urgency_source
disease_472,Dorsal Midbrain (Parinaud) Syndrome,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,dorsal midbrain (parinaud) syndrome,False,"[""Differential Diagnosis of \u201cLight-Near\u201d Dissociation""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_473,Rarely Caused By Third Cranial Nerve Palsy With Aberrant Regeneration,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,rarely caused by third cranial nerve palsy with aberrant regeneration,False,"[""Differential Diagnosis of \u201cLight-Near\u201d Dissociation""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_474,Parinaud Syndrome/Dorsal Midbrain Lesion,Entity,,[10],Disease entity extracted from differential diagnosis lists,2,parinaud syndrome/dorsal midbrain lesion,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_475,Holmes–Adie Syndrome,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,holmes–adie syndrome,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_476,Argyll Robertson Pupils,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,argyll robertson pupils,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_477,Thyroid Eye Disease,Entity,,[10],Disease entity extracted from differential diagnosis lists,4,thyroid eye disease,False,"[""Differential Diagnosis"", ""Differential Diagnosis of Limited Abduction""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_478,Progressive External Ophthalmoplegia (Cpeo),Entity,,[10],Disease entity extracted from differential diagnosis lists,1,progressive external ophthalmoplegia (cpeo),False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_479,Idiopathic Orbital Inflammatory Syndrome,Entity,,[10],Disease entity extracted from differential diagnosis lists,4,idiopathic orbital inflammatory syndrome,False,"[""Differential Diagnosis"", ""Differential Diagnosis of Limited Abduction""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_480,Internuclear Ophthalmoplegia (Ino),Entity,,[10],Disease entity extracted from differential diagnosis lists,1,internuclear ophthalmoplegia (ino),False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_481,Skew Deviation,Entity,,[10],Disease entity extracted from differential diagnosis lists,2,skew deviation,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_482,Gca,Entity,,"[10, 11]",Disease entity extracted from differential diagnosis lists,5,gca,False,"[""Differential Diagnosis"", ""Differential Diagnosis of Limited Abduction"", ""Differential Diagnosis of Transient Visual Loss"", ""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_483,Pupil-Involving,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,pupil-involving,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_484,More Common,Entity,,[10],Disease entity extracted from differential diagnosis lists,2,more common,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_485,Less Common,Entity,,[10],Disease entity extracted from differential diagnosis lists,2,less common,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_486,Pupil-Sparing,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,pupil-sparing,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_487,Relative Pupil-Sparing,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,relative pupil-sparing,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_488,Aberrant Regeneration Present,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,aberrant regeneration present,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_489,Aberrancy From Congenital Third Cranial Nerve Palsies,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,aberrancy from congenital third cranial nerve palsies,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_490,Aberrancy From Prior Acquired Third Cranial Nerve Palsies,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,aberrancy from prior acquired third cranial nerve palsies,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_491,Aberrant Regeneration,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,aberrant regeneration,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_492,Incomplete Third Cranial Nerve Palsy,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,incomplete third cranial nerve palsy,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_493,Brown Syndrome,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,brown syndrome,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_494,Orbital Trauma,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,orbital trauma,False,"[""Differential Diagnosis of Limited Abduction""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_495,"Duane Syndrome, Type 1",Entity,,[10],Disease entity extracted from differential diagnosis lists,1,"duane syndrome, type 1",False,"[""Differential Diagnosis of Limited Abduction""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_496,Möbius Syndrome,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,möbius syndrome,False,"[""Differential Diagnosis of Limited Abduction""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_497,Convergence Spasm,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,convergence spasm,False,"[""Differential Diagnosis of Limited Abduction""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_498,Divergence Insufficiency,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,divergence insufficiency,False,"[""Differential Diagnosis of Limited Abduction""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_499,Cpeo,Entity,,[10],Disease entity extracted from differential diagnosis lists,2,cpeo,False,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_500,Orbital Lesions (E.G.,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,orbital lesions (e.g.,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_501,Brainstem Disease,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,brainstem disease,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_502,Carcinomatous Meningitis,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,carcinomatous meningitis,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_503,"Skull Base Tumors, Especially Nasopharyngeal Carcinoma Or Clivus Lesions",Entity,,[10],Disease entity extracted from differential diagnosis lists,1,"skull base tumors, especially nasopharyngeal carcinoma or clivus lesions",False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_504,Arteriovenous Fistula (Avf) (Carotid–Cavernous [“High-Flow”] Or Dural–Cavernous [“Low-Flow”]),Entity,,[10],Disease entity extracted from differential diagnosis lists,1,arteriovenous fistula (avf) (carotid–cavernous [“high-flow”] or dural–cavernous [“low-flow”]),False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_505,Direct Fistula,Entity,,[10],Disease entity extracted from differential diagnosis lists,2,direct fistula,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_506,Indirect With Branches Solely From Internal Carotid Artery (Rare),Entity,,[10],Disease entity extracted from differential diagnosis lists,2,indirect with branches solely from internal carotid artery (rare),False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_507,Indirect With Branches Solely From External Carotid Artery,Entity,,[10],Disease entity extracted from differential diagnosis lists,2,indirect with branches solely from external carotid artery,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_508,Indirect With Branches From Both Internal And External Carotid Arteries (Most Common),Entity,,[10],Disease entity extracted from differential diagnosis lists,2,indirect with branches from both internal and external carotid arteries (most common),False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_509,Tumors Within The Cavernous Sinus,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,tumors within the cavernous sinus,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_510,Intracavernous Aneurysm,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,intracavernous aneurysm,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_511,Zygomycosis (Such As Mucormycosis),Entity,,[10],Disease entity extracted from differential diagnosis lists,1,zygomycosis (such as mucormycosis),False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_512,Pituitary Apoplexy,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,pituitary apoplexy,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_513,Tolosa–Hunt Syndrome,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,tolosa–hunt syndrome,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_514,Eaton–Lambert Syndrome,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,eaton–lambert syndrome,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_515,Myasthenia-Like Syndrome Due To Medication (E,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,myasthenia-like syndrome due to medication (e,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_516,Kearns–Sayre Syndrome,Entity,,[10],Disease entity extracted from differential diagnosis lists,2,kearns–sayre syndrome,False,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_517,Third Cranial Nerve Palsy,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,third cranial nerve palsy,False,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_518,Levator Muscle Dehiscence Or Disinsertion,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,levator muscle dehiscence or disinsertion,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_519,Myotonic Dystrophy,Entity,,"[10, 13]",Disease entity extracted from differential diagnosis lists,2,myotonic dystrophy,False,"[""Differential Diagnosis"", ""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_520,Progressive Supranuclear Palsy (Steele–Richardson–Olszewski Syndrome),Entity,,[10],Disease entity extracted from differential diagnosis lists,1,progressive supranuclear palsy (steele–richardson–olszewski syndrome),False,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_521,Abetalipoproteinemia (Bassen–Kornzweig Syndrome),Entity,,[10],Disease entity extracted from differential diagnosis lists,1,abetalipoproteinemia (bassen–kornzweig syndrome),False,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_522,Refsum Disease,Entity,,[10],Disease entity extracted from differential diagnosis lists,1,refsum disease,False,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
